date,cot_net_z,cot_change_z,gld_flow_z,usd_return_20d,real_yield_change_20d,vix_z
1990-01-02,,,,,,
1990-01-03,,,,,,
1990-01-04,,,,,,
1990-01-05,,,,,,
1990-01-06,,,,,,
1990-01-07,,,,,,
1990-01-08,,,,,,
1990-01-09,,,,,,
1990-01-10,,,,,,
1990-01-11,,,,,,
1990-01-12,,,,,,
1990-01-13,,,,,,
1990-01-14,,,,,,
1990-01-15,,,,,,
1990-01-16,,,,,,
1990-01-17,,,,,,
1990-01-18,,,,,,
1990-01-19,,,,,,
1990-01-20,,,,,,
1990-01-21,,,,,,
1990-01-22,,,,,,
1990-01-23,,,,,,
1990-01-24,,,,,,
1990-01-25,,,,,,
1990-01-26,,,,,,
1990-01-27,,,,,,
1990-01-28,,,,,,
1990-01-29,,,,,,
1990-01-30,,,,,,
1990-01-31,,,,,,
1990-02-01,,,,,,
1990-02-02,,,,,,
1990-02-03,,,,,,
1990-02-04,,,,,,
1990-02-05,,,,,,
1990-02-06,,,,,,
1990-02-07,,,,,,
1990-02-08,,,,,,
1990-02-09,,,,,,
1990-02-10,,,,,,
1990-02-11,,,,,,
1990-02-12,,,,,,
1990-02-13,,,,,,
1990-02-14,,,,,,
1990-02-15,,,,,,
1990-02-16,,,,,,
1990-02-17,,,,,,
1990-02-18,,,,,,
1990-02-19,,,,,,
1990-02-20,,,,,,
1990-02-21,,,,,,
1990-02-22,,,,,,
1990-02-23,,,,,,
1990-02-24,,,,,,
1990-02-25,,,,,,
1990-02-26,,,,,,
1990-02-27,,,,,,
1990-02-28,,,,,,
1990-03-01,,,,,,
1990-03-02,,,,,,
1990-03-03,,,,,,-0.8343021635
1990-03-04,0.8378417127,,,,,-0.8227901564
1990-03-05,0.826240571,,,,,-0.8117442834
1990-03-06,-2.443398369,,,,,-0.4947405816
1990-03-07,-2.315303716,,,,,-1.146887255
1990-03-08,-2.205494227,,,,,-1.747314988
1990-03-09,-2.109996467,-2.411509457,,,,-1.427513829
1990-03-10,-2.025949329,-2.28384491,,,,-1.158868256
1990-03-11,-1.951233271,0.1593330758,,,,-1.139081763
1990-03-12,-1.884240196,0.1580516694,,,,-1.120279906
1990-03-13,-1.823725001,0.1568006961,,,,-1.19978408
1990-03-14,-1.768706602,0.1555789699,,,,-0.7621568337
1990-03-15,-1.718400061,0.1543853684,,,,-1.349517962
1990-03-16,-1.67216889,0.1532188285,,,,-1.670651532
1990-03-17,-1.6294908,0.1520783429,,,,-2.101134963
1990-03-18,-1.589932648,0.1509629557,,,,-2.027652518
1990-03-19,-1.553131777,0.1498717594,,,,-1.961395315
1990-03-20,-1.518781927,0.1488038921,,,,-1.649811642
1990-03-21,-2.923241719,-1.512724674,,,,-1.319344969
1990-03-22,-2.755769801,-1.479146682,,,,-0.8969516744
1990-03-23,-2.61417214,-1.447717769,,,,0.149160666
1990-03-24,-2.492406601,-1.418217916,,,,-0.7533968814
1990-03-25,-2.386238062,-1.3904574,,,,-0.7462355239
1990-03-26,-2.292598135,0.2392863825,,,,-0.7392753093
1990-03-27,-2.209201995,0.2376792307,,,,-1.075243208
1990-03-28,-2.134308565,0.2361040548,,,,-0.5007863181
1990-03-29,-2.06656472,0.2345598078,,,,-0.9898368349
1990-03-30,-2.004900781,0.23304549,,,,-1.490262406
1990-03-31,-1.94845848,0.2315601463,,,,-0.9703716793
1990-04-01,-1.896540112,0.2301028639,,,,-0.9598447786
1990-04-02,-1.848571867,0.2286727697,,,,-0.949654434
1990-04-03,-1.804076909,0.2272690281,,,,0.2965001451
1990-04-04,-1.762655278,0.2258908392,,,,-0.6661793218
1990-04-05,-2.935665953,-1.863571676,,,,-0.02283104925
1990-04-06,-2.792147247,-1.817156588,,,,-0.3542522939
1990-04-07,-2.667833186,-1.774053719,,,,-0.1287876796
1990-04-08,-2.558790697,-1.733886915,,,,-0.1281110685
1990-04-09,-2.462129191,-1.696337227,,,,-0.1274450116
1990-04-10,-2.375670249,0.3086573181,,,,0.09622358955
1990-04-11,-2.297736832,0.3068526658,,,,-0.1574871152
1990-04-12,-2.227014053,0.305079334,,,,-1.779601788
1990-04-13,-2.162454456,0.3033364262,,,,-0.9129590721
1990-04-14,-2.103211921,0.3016230816,,,,-0.9047912397
1990-04-15,-2.048594495,0.299938473,,,,-0.8968394632
1990-04-16,-1.998030056,0.2982818055,,,,-0.8890943689
1990-04-17,-1.951040895,0.2966523142,,,,-0.4908895459
1990-04-18,-2.111092885,-0.1733437587,,,,-0.6411181205
1990-04-19,-2.057981194,-0.1724661994,,,,0.3163058313
1990-04-20,-2.008693364,-0.1716018379,,,,0.2268792119
1990-04-21,-1.962791505,-0.1707503466,,,,0.5907502438
1990-04-22,-1.919904855,-0.1699114093,,,,0.5871443747
1990-04-23,-1.879717106,0.3108601549,,,,0.5836038872
1990-04-24,-1.841956533,0.3092621001,,,,0.929600783
1990-04-25,-1.806388228,0.3076884627,,,,-0.1191654057
1990-04-26,-1.772807926,0.3061386266,,,,-0.4764795624
1990-04-27,-1.74103705,0.3046119973,,,,-0.733777587
1990-04-28,-1.710918701,0.3031080009,,,,0.1014839696
1990-04-29,-1.682314388,0.3016260833,,,,0.1010486157
1990-04-30,-1.655101342,0.3001657091,,,,0.1006188172
1990-05-01,-1.629170293,0.2987263609,,,,-1.05493285
1990-05-02,-1.60442362,0.2973075386,,,,-1.50918883
1990-05-03,-1.580773801,0.2959087585,,,,-1.112735024
1990-05-04,-1.558142109,0.2945295529,,,,-1.737491372
1990-05-05,-1.536457507,0.2931694692,,,,-1.926955311
1990-05-06,-1.475717539,0.4072982847,,,,-1.890901862
1990-05-07,-1.456961428,0.4053130741,,,,-1.856802614
1990-05-08,-1.43890435,0.4033566492,,,,-1.676878493
1990-05-09,-1.421503917,0.4014283204,,,,-1.31574324
1990-05-10,-1.404721255,0.3995274208,,,,-1.24148072
1990-05-11,-1.388520639,0.2800885211,,,,-1.249400085
1990-05-12,-1.37286917,0.2788771396,,,,-0.7450768734
1990-05-13,-1.357736493,0.2776813512,,,,-0.7406697298
1990-05-14,-1.343094555,0.2765008241,,,,-0.7363400551
1990-05-15,-1.32891738,0.2753352362,,,,-0.5973752704
1990-05-16,-1.315180876,0.2741842748,,,,-0.8600887147
1990-05-17,-1.301862667,0.2730476365,,,,-1.574882201
1990-05-18,-1.288941933,0.2719250264,,,,-1.729625017
1990-05-19,-1.276399279,0.2708161581,,,,-1.732213827
1990-05-20,-1.264216609,0.2697207534,,,,-1.707375137
1990-05-21,-1.290473588,0.1472410378,,,,-1.683577036
1990-05-22,-1.278167527,0.1466827933,,,,-1.845296626
1990-05-23,-1.266207701,0.1461308514,,,,-1.387583679
1990-05-24,-1.254578163,0.1455850944,,,,-1.626430064
1990-05-25,-1.243263978,0.1450454076,,,,-1.407698579
1990-05-26,-1.232251138,0.2681744461,,,,-1.537752976
1990-05-27,-1.221526492,0.2671454595,,,,-1.520047712
1990-05-28,-1.211077678,0.2661282338,,,,-1.502941382
1990-05-29,-1.200893065,0.2651225466,,,,-1.486400951
1990-05-30,-1.190961696,0.2641281812,,,,-0.9321200696
1990-05-31,-1.181273242,0.2631449267,,,,-1.420032509
1990-06-01,-1.171817951,0.2621725775,,,,-1.431969677
1990-06-02,-1.162586614,0.2612109336,,,,-1.521591016
1990-06-03,-1.153570521,0.2602597998,,,,-1.505115424
1990-06-04,-1.144761431,0.259318986,,,,-1.489164634
1990-06-05,-1.136151536,0.2583883067,,,,-0.9938530435
1990-06-06,-1.228541449,-0.0896082309,,,,-0.7717566242
1990-06-07,-1.218640339,-0.08930864224,,,,-1.343112702
1990-06-08,-1.208975298,-0.08901203853,,,,-1.529328103
1990-06-09,-1.199537089,-0.08871837051,,,,-1.257199849
1990-06-10,-1.190316969,-0.08842759009,,,,-1.247043137
1990-06-11,-1.181306661,0.2647789175,,,,-1.237129152
1990-06-12,-1.172498324,0.263868916,,,,-1.67793843
1990-06-13,-1.163884518,0.2629682375,,,,-1.564839577
1990-06-14,-1.155458182,0.2620767238,,,,-1.267510158
1990-06-15,-1.147212609,0.2611942206,,,,-1.250263888
1990-06-16,-1.139141423,0.2603205769,,,,-1.777355913
1990-06-17,-1.13123856,0.2594556455,,,,-1.755302937
1990-06-18,-1.123498244,0.2585992824,,,,-1.734052138
1990-06-19,-1.115914977,0.2577513471,,,,-1.076119385
1990-06-20,-1.108483514,0.2569117021,,,,-1.93956993
1990-06-21,-1.724737298,-2.01725452,,,,-1.898960824
1990-06-22,-1.704748695,-1.986672295,,,,-2.060978935
1990-06-23,-1.685440313,-1.957441783,,,,-0.4344825246
1990-06-24,-1.666774421,-1.929466251,,,,-0.4329947419
1990-06-25,-1.648716153,-1.902658388,,,,-0.4315221542
1990-06-26,-1.631233238,0.303229438,,,,-1.233755721
1990-06-27,-1.614295752,0.3022593472,,,,-1.491050582
1990-06-28,-1.597875909,0.301298513,,,,-1.577009676
1990-06-29,-1.581947861,0.3003467891,,,,-1.500196885
1990-06-30,-1.566487535,0.2994040324,,,,-1.717612716
1990-07-01,-1.551472473,0.2984701027,,,,-1.698918054
1990-07-02,-1.536881701,0.2975448633,,,,-1.680821645
1990-07-03,-1.522695601,0.29662818,,,,-1.408743754
1990-07-04,-1.508895802,0.2957199217,,,,-1.44756358
1990-07-05,-1.029614103,2.058468071,,,,-1.435451015
1990-07-06,-1.023866362,2.028736725,,,,-1.042398079
1990-07-07,-1.018213988,2.000258927,,,,-1.317757812
1990-07-08,-1.01265437,1.972948993,,,,-1.308156241
1990-07-09,-1.007184998,1.946729219,,,,-1.298761873
1990-07-10,-1.001803455,0.227644337,,,,-1.206460964
1990-07-11,-0.9965074128,0.226996146,,,,-1.112206659
1990-07-12,-0.9912946302,0.2263534623,,,,-1.185513743
1990-07-13,-0.9861629465,0.2257162084,,,,-1.051821531
1990-07-14,-0.981110279,0.2250843081,,,,-1.036117004
1990-07-15,-0.9761346191,0.2244576869,,,,-1.030594642
1990-07-16,-0.971234029,0.2238362716,,,,-1.025159798
1990-07-17,-0.9664066386,0.2232199907,,,,-1.132817461
1990-07-18,-0.9616506422,0.2226087737,,,,-1.156132285
1990-07-19,-0.4334752195,2.147041964,,,,-0.4030168162
1990-07-20,-0.4321787056,2.116246685,,,,-0.5157490793
1990-07-21,-0.4308937662,2.086740872,,,,-1.491045029
