date,equity
2019-02-04,100000.0
2019-02-05,103339.73412186373
2019-02-06,103138.25802532853
2019-02-07,101428.89735926718
2019-02-08,110200.72248474201
2019-02-09,111587.62991483664
2019-02-10,113214.88360300177
2019-02-11,113613.97284195255
2019-02-12,113590.30016930256
2019-02-13,113494.05969097758
2019-02-14,113439.79564804376
2019-02-15,113538.38921438187
2019-02-16,113514.03586594647
2019-02-17,113564.53060094801
2019-02-18,113886.83343119935
2019-02-19,116961.64265182291
2019-02-20,119840.68180986008
2019-02-21,115692.33273135779
2019-02-22,117623.84300455889
2019-02-23,119155.80611892176
2019-02-24,110882.98366431794
2019-02-25,114015.83347284346
2019-02-26,113923.86076973531
2019-02-27,113966.32207545107
2019-02-28,114024.48280019063
2019-03-01,114235.71013323641
2019-03-02,114305.74372558853
2019-03-03,114211.32478160232
2019-03-04,114136.14235700635
2019-03-05,125958.48060407663
2019-03-06,128649.2332773144
2019-03-07,130569.89548285308
2019-03-08,127032.74132574578
2019-03-09,129162.31620007433
2019-03-10,128449.1499047738
2019-03-11,127175.11515822633
2019-03-12,130015.02294385042
2019-03-13,128764.91161286907
2019-03-14,128911.6102807314
2019-03-15,130644.92947572557
2019-03-16,136131.97493920504
2019-03-17,134072.26532131087
2019-03-18,133721.88131445533
2019-03-19,134548.44921338293
2019-03-20,133606.40830713458
2019-03-21,129500.63434632037
2019-03-22,131744.83958140394
2019-03-23,132127.9251567794
2019-03-24,137401.2699438916
2019-03-25,134859.49786124963
2019-03-26,133903.19623195461
2019-03-27,138089.9135060225
2019-03-28,137427.0019518406
2019-03-29,137996.72146974693
2019-03-30,139082.5858413366
2019-03-31,140128.833009107
2019-04-01,142297.75728261122
2019-04-02,155927.90245536534
2019-04-03,152351.39784242105
2019-04-04,152241.7844615109
2019-04-05,155558.62130789764
2019-04-06,154810.51112684552
2019-04-07,157667.26516756965
2019-04-08,156949.27155641062
2019-04-09,154272.44453567467
2019-04-10,157270.46458205566
2019-04-11,149129.35734213763
2019-04-12,152647.6046218331
2019-04-13,153816.86312386504
2019-04-14,156922.56706463086
2019-04-15,154088.05799625572
2019-04-16,157749.14107113265
2019-04-17,156861.66266818962
2019-04-18,166282.5297696486
2019-04-19,171812.60340364135
2019-04-20,173732.6604537561
2019-04-21,168727.715911977
2019-04-22,169530.83109719653
2019-04-23,168762.1630542765
2019-04-24,166386.3038634797
2019-04-25,157892.9117186144
2019-04-26,160714.3727139498
2019-04-27,160037.47552844233
2019-04-28,161157.36620491446
2019-04-29,157250.87221318838
2019-04-30,161656.46124103022
2019-05-01,161299.72492044483
2019-05-02,166721.4964788675
2019-05-03,171698.41377352425
2019-05-04,168912.18025368027
2019-05-05,168689.78877415613
2019-05-06,169345.16796781324
2019-05-07,165811.68444377504
2019-05-08,167406.49455633172
2019-05-09,164186.16942236063
2019-05-10,169082.72200270856
2019-05-11,187803.34338980602
2019-05-12,182681.75571889777
2019-05-13,201647.44004145113
2019-05-14,209602.6839826461
2019-05-15,230887.4498855074
2019-05-16,232282.34761415372
2019-05-17,218900.2588690377
2019-05-18,222806.01453411405
2019-05-19,242758.88524328108
2019-05-20,237349.4180023878
2019-05-21,245548.2592774242
2019-05-22,237855.44755993248
2019-05-23,240507.25243386932
2019-05-24,248937.816908675
2019-05-25,253569.96807907143
2019-05-26,261973.96869057222
2019-05-27,263963.08742152253
2019-05-28,261917.5827236323
2019-05-29,261569.07574223544
2019-05-30,249990.6253925936
2019-05-31,257684.65956495333
2019-06-01,257395.60808558142
2019-06-02,261161.49167640522
2019-06-03,245489.56001195923
2019-06-04,231599.70830885915
2019-06-05,238848.61596751527
2019-06-06,240846.78525882255
2019-06-07,243810.5994026486
2019-06-08,242481.42980046847
2019-06-09,231800.03806798384
2019-06-10,243515.09651778825
2019-06-11,242709.33977963563
2019-06-12,256017.2152052372
2019-06-13,256483.94978907163
2019-06-14,258545.4988361431
2019-06-15,260995.19246477753
2019-06-16,261574.81681558356
2019-06-17,270398.2919089597
2019-06-18,266156.34463646717
2019-06-19,271968.0721971955
2019-06-20,278988.04437263723
2019-06-21,298139.07017019467
2019-06-22,305580.3762249614
2019-06-23,304789.25718145893
2019-06-24,307942.74582228746
2019-06-25,313850.52485307807
2019-06-26,330582.45092215925
2019-06-27,288110.07457760023
2019-06-28,290101.2673976496
2019-06-29,292323.39364710613
2019-06-30,284322.91068832926
2019-07-01,282634.4487905096
2019-07-02,281311.0649294706
2019-07-03,297208.28899818624
2019-07-04,285254.95035332005
2019-07-05,283744.5057824368
2019-07-06,285126.815939182
2019-07-07,295140.1785118215
2019-07-08,305651.1984115366
2019-07-09,304297.1664795219
2019-07-10,290951.3849152809
2019-07-11,271820.78875530115
2019-07-12,284323.72128250124
2019-07-13,278022.93077378656
2019-07-14,256868.6342710274
2019-07-15,259546.91160136345
2019-07-16,259546.91160136345
2019-07-17,259546.91160136345
2019-07-18,259546.91160136345
2019-07-19,259546.91160136345
2019-07-20,259546.91160136345
2019-07-21,259546.91160136345
2019-07-22,259546.91160136345
2019-07-23,259546.91160136345
2019-07-24,259546.91160136345
2019-07-25,259546.91160136345
2019-07-26,259546.91160136345
2019-07-27,259546.91160136345
2019-07-28,259546.91160136345
2019-07-29,259546.91160136345
2019-07-30,259546.91160136345
2019-07-31,259546.91160136345
2019-08-01,259546.91160136345
2019-08-02,259546.91160136345
2019-08-03,259546.91160136345
2019-08-04,259546.91160136345
2019-08-05,259546.91160136345
2019-08-06,259546.91160136345
2019-08-07,259546.91160136345
2019-08-08,259546.91160136345
2019-08-09,259546.91160136345
2019-08-10,259546.91160136345
2019-08-11,259546.91160136345
2019-08-12,259546.91160136345
2019-08-13,259546.91160136345
2019-08-14,259546.91160136345
2019-08-15,259546.91160136345
2019-08-16,259546.91160136345
2019-08-17,259546.91160136345
2019-08-18,259546.91160136345
2019-08-19,259546.91160136345
2019-08-20,259546.91160136345
2019-08-21,259546.91160136345
2019-08-22,259546.91160136345
2019-08-23,259546.91160136345
2019-08-24,259546.91160136345
2019-08-25,259546.91160136345
2019-08-26,259546.91160136345
2019-08-27,259546.91160136345
2019-08-28,259546.91160136345
2019-08-29,259546.91160136345
2019-08-30,259546.91160136345
2019-08-31,259546.91160136345
2019-09-01,259546.91160136345
2019-09-02,259546.91160136345
2019-09-03,259546.91160136345
2019-09-04,259546.91160136345
2019-09-05,259546.91160136345
2019-09-06,259546.91160136345
2019-09-07,259546.91160136345
2019-09-08,259546.91160136345
2019-09-09,259546.91160136345
2019-09-10,259546.91160136345
2019-09-11,259546.91160136345
2019-09-12,259546.91160136345
2019-09-13,259546.91160136345
2019-09-14,259546.91160136345
2019-09-15,259546.91160136345
2019-09-16,259546.91160136345
2019-09-17,259546.91160136345
2019-09-18,259546.91160136345
2019-09-19,259546.91160136345
2019-09-20,259546.91160136345
2019-09-21,259546.91160136345
2019-09-22,259546.91160136345
2019-09-23,259546.91160136345
2019-09-24,259546.91160136345
2019-09-25,259546.91160136345
2019-09-26,259546.91160136345
2019-09-27,259546.91160136345
2019-09-28,259546.91160136345
2019-09-29,259546.91160136345
2019-09-30,259546.91160136345
2019-10-01,259546.91160136345
2019-10-02,259546.91160136345
2019-10-03,259546.91160136345
2019-10-04,259546.91160136345
2019-10-05,259546.91160136345
2019-10-06,259546.91160136345
2019-10-07,259546.91160136345
2019-10-08,259546.91160136345
2019-10-09,259546.91160136345
2019-10-10,259546.91160136345
2019-10-11,259546.91160136345
2019-10-12,259546.91160136345
2019-10-13,259546.91160136345
2019-10-14,259546.91160136345
2019-10-15,259546.91160136345
2019-10-16,259546.91160136345
2019-10-17,259546.91160136345
2019-10-18,259546.91160136345
2019-10-19,259546.91160136345
2019-10-20,259546.91160136345
2019-10-21,259546.91160136345
2019-10-22,259546.91160136345
2019-10-23,259546.91160136345
2019-10-24,259546.91160136345
2019-10-25,259546.91160136345
2019-10-26,259546.91160136345
2019-10-27,259546.91160136345
2019-10-28,259546.91160136345
2019-10-29,259728.7298236439
2019-10-30,259482.31065550723
2019-10-31,259474.9263263996
2019-11-01,259473.8950177368
2019-11-02,259551.6362682885
2019-11-03,259453.12315395157
2019-11-04,259625.15138985892
2019-11-05,259628.4997770443
2019-11-06,259770.9601842674
2019-11-07,259633.92701071512
2019-11-08,259078.74659036307
2019-11-09,259228.85323365527
2019-11-10,259442.8247752789
2019-11-11,259132.79430162965
2019-11-12,259138.33496798217
2019-11-13,259138.0417154199
2019-11-14,259015.28064005508
2019-11-15,258713.9631789094
2019-11-16,258833.92228423638
2019-11-17,258863.210869642
2019-11-18,258491.79105813082
2019-11-19,256359.4318564646
2019-11-20,254057.45581464568
2019-11-21,240577.28907890388
2019-11-22,231681.8108331022
2019-11-23,233228.1236905203
2019-11-24,229000.46903661167
2019-11-25,229000.46903661167
2019-11-26,229000.46903661167
2019-11-27,229000.46903661167
2019-11-28,229000.46903661167
2019-11-29,229000.46903661167
2019-11-30,229000.46903661167
2019-12-01,229000.46903661167
2019-12-02,229000.46903661167
2019-12-03,229000.46903661167
2019-12-04,229000.46903661167
2019-12-05,229000.46903661167
2019-12-06,229000.46903661167
2019-12-07,229000.46903661167
